Commodity,tier,n_obs,span_days,cv,avg_daily_range_pct,price_mean,volatility_cluster,full_cluster,hier_cluster,seasonal_strength,trend_strength,peak_month,shape_cluster
Apple(Fuji),Tier2_sparse,395,714,0.14256635208170915,0.06481187834089075,280.0253164556962,1,,,,,,3.0
Apple(Jholey),Tier1_full_history,2683,2888,0.3002892664241567,0.09296635217080403,122.28382407752515,1,0.0,2.0,0.113,0.479,10.0,6.0
Arum,Tier1_full_history,2020,2880,0.21118429651036472,0.14110937559821568,42.60222772277228,0,1.0,1.0,0.082,0.429,5.0,1.0
Asparagus,Tier1_full_history,1055,2889,0.4615661673757369,0.11866108902913607,321.6469194312796,1,0.0,2.0,0.139,0.259,3.0,2.0
Bakula,Tier1_full_history,1131,2768,0.35125863323779694,0.12008478859160927,67.06631299734748,0,1.0,1.0,0.122,0.252,10.0,6.0
Bamboo Shoot,Tier1_full_history,2744,2889,0.271747585439221,0.10500758959457696,101.34748542274052,1,0.0,1.0,0.0,0.205,4.0,1.0
Banana,Tier1_full_history,2744,2889,0.2632818739772491,0.1259991863337211,78.39413265306122,0,1.0,1.0,0.498,0.407,5.0,6.0
Barela,Tier1_full_history,1390,2832,0.3851804220657071,0.15675520039752772,44.121942446043164,0,1.0,1.0,0.277,0.116,9.0,6.0
Bauhania flower,Tier1_full_history,286,2616,0.5694763816598515,0.11827445806249773,119.16958041958041,0,,,,,,
Bitter Gourd,Tier1_full_history,2670,2889,0.5080070829680156,0.13047025464069653,65.80149812734082,0,1.0,1.0,0.811,0.222,2.0,4.0
Bottle Gourd,Tier1_full_history,2700,2889,0.27725409306926846,0.15868279082793102,39.63944444444444,0,1.0,1.0,0.345,0.275,3.0,4.0
Brd Leaf Mustard,Tier1_full_history,2742,2889,0.4764488949718809,0.15328629408520783,49.76203501094092,0,1.0,1.0,0.437,0.094,9.0,6.0
Brinjal Long,Tier1_full_history,2736,2889,0.35877692634186215,0.16273152288497114,37.917397660818715,0,1.0,1.0,0.409,0.4,10.0,4.0
Brinjal Round,Tier1_full_history,1996,2889,0.27396950121044894,0.15588008797922445,38.050350701402806,0,1.0,1.0,0.276,0.217,3.0,4.0
Brocauli,Tier1_full_history,1870,2889,0.5363310024882574,0.13692416079222688,65.85320855614974,0,1.0,1.0,0.371,0.092,9.0,6.0
Cabbage,Tier2_sparse,288,692,0.4991254279641249,0.20447854102500138,29.69965277777778,0,,,,,,6.0
Cabbage(Local),Tier1_full_history,2749,2889,0.5291094874075998,0.19326688747735085,27.553292106220443,0,1.0,1.0,0.477,0.223,11.0,6.0
Cabbage(Terai),Tier2_sparse,248,519,0.4263659226104704,0.2275727343382863,25.014112903225808,0,,,,,,6.0
Capsicum,Tier1_full_history,2725,2889,0.40229092413343837,0.11432065129654324,75.34844036697248,0,1.0,1.0,0.563,0.124,10.0,6.0
Carrot(Local),Tier1_full_history,2736,2889,0.5022461224283592,0.12482946930387925,63.19279970760234,0,1.0,1.0,0.6,0.197,10.0,6.0
Carrot(Terai),Tier2_sparse,310,531,0.5366520701664087,0.1839280486791235,44.211290322580645,0,,,,,,4.0
Cauli Local,Tier1_full_history,2750,2889,0.5212519235731453,0.1633546246980721,48.80163636363636,0,1.0,1.0,0.547,0.231,9.0,6.0
Cauli Local(Jyapu),Tier2_sparse,331,520,0.43468995103132485,0.1665951267902265,46.62839879154078,0,,,,,,4.0
Cauli Terai,Tier1_full_history,847,2681,0.5955869891539509,0.2123071184617257,27.39787485242031,0,1.0,1.0,0.504,0.273,11.0,6.0
Celery,Tier1_full_history,2462,2878,0.4843360604200704,0.09123638842462874,133.838342810723,1,0.0,2.0,0.05,0.502,10.0,4.0
Chilli Dry,Tier1_full_history,2748,2889,0.23646530447778008,0.044842412807403746,250.4585152838428,1,0.0,2.0,0.147,0.808,11.0,4.0
Chilli Green,Tier1_full_history,2735,2889,0.40252141806361846,0.12212315453691648,63.795063985374775,0,1.0,1.0,0.253,0.184,10.0,6.0
Chilli Green(Akbare),Tier2_sparse,471,714,0.40881860885522253,0.08388334415272809,228.23779193205945,1,,,,,,1.0
Chilli Green(Bullet),Tier2_sparse,541,714,0.3719984934733983,0.12442546153954148,70.01386321626617,0,,,,,,6.0
Chilli Green(Machhe),Tier2_sparse,423,714,0.352244133123237,0.12797071747289007,71.15248226950355,0,,,,,,4.0
Christophine,Tier1_full_history,2225,2873,0.47184284878691346,0.19843522373985573,29.87370786516854,0,1.0,1.0,0.266,0.104,6.0,1.0
Clive Dry,Tier1_full_history,1599,2874,0.39924671533765493,0.08567023010642469,134.1963727329581,1,0.0,2.0,0.313,0.418,12.0,4.0
Clive Green,Tier1_full_history,1364,2874,0.47840094780816256,0.11770690244755028,89.4541788856305,0,1.0,1.0,0.085,0.144,1.0,6.0
Coriander Green,Tier1_full_history,2741,2889,0.7697722157814919,0.12456602609792766,123.49051441079898,0,1.0,1.0,0.4,0.102,8.0,6.0
Cow pea(Long),Tier1_full_history,2251,2889,0.4189412888928023,0.12449931162226495,62.65637494446913,0,1.0,1.0,0.109,0.111,11.0,2.0
Cowpea(Short),Tier2_sparse,324,710,0.26439371061812583,0.11579018698527146,58.81944444444444,0,,,,,,1.0
Cress Leaf,Tier1_full_history,2609,2889,0.38891487090926796,0.11849220968916402,62.57857416634726,0,1.0,1.0,0.434,0.343,11.0,6.0
Cucumber(Hybrid),Tier2_sparse,656,714,0.4771441871146316,0.214050728204463,37.36966463414634,0,,,,,,4.0
Cucumber(Local),Tier1_full_history,2686,2889,0.4292023086010967,0.14021907936539685,55.46835443037975,0,1.0,1.0,0.402,0.313,2.0,4.0
Drumstick,Tier1_full_history,366,2889,0.42350495872377264,0.09842932450607181,126.06693989071039,1,0.0,2.0,0.962,0.788,12.0,4.0
Fennel Leaf,Tier1_full_history,2377,2888,0.32671489998238407,0.11774228674924936,62.27324358435002,0,1.0,1.0,0.319,0.117,8.0,6.0
Fenugreek Leaf,Tier1_full_history,2296,2889,0.3267344745812572,0.11834841621796875,59.93510452961672,0,1.0,1.0,0.39,0.101,11.0,6.0
Fish Fresh,Tier1_full_history,2047,2684,0.07338018462706516,0.03639819947668105,234.90962383976552,1,0.0,2.0,0.201,0.578,11.0,4.0
Fish Fresh(Bachuwa),Tier2_sparse,631,714,0.05399718824234425,0.036244224713818045,220.53486529318542,1,,,,,,1.0
Fish Fresh(Chhadi),Tier2_sparse,631,714,0.05573072221616087,0.041902518499564036,213.61331220285263,1,,,,,,1.0
Fish Fresh(Mungari),Tier2_sparse,629,714,0.07201171973335581,0.02974790088150128,243.43004769475357,1,,,,,,4.0
Fish Fresh(Rahu),Tier2_sparse,629,714,0.09301676014906982,0.02510157060753559,282.147853736089,1,,,,,,3.0
French Bean(Hybrid),Tier2_sparse,660,710,0.4103355245595912,0.12158624870497906,71.3469696969697,0,,,,,,3.0
French Bean(Local),Tier1_full_history,2739,2889,0.3942384075745703,0.12583969190338068,59.80668127053669,0,1.0,1.0,0.156,0.168,8.0,3.0
French Bean(Rajma),Tier2_sparse,158,710,0.2378682569875782,0.09019788206225263,87.5,1,,,,,,5.0
Garlic Dry Chinese,Tier1_full_history,2728,2889,0.4322028794207076,0.053089235642047754,194.08211143695016,1,0.0,2.0,0.178,0.605,2.0,1.0
Garlic Dry Nepali,Tier1_full_history,2560,2889,0.46415434250030724,0.07448729328836634,154.7544921875,1,0.0,2.0,0.147,0.601,10.0,4.0
Garlic Green,Tier1_full_history,2675,2889,0.4723831639073021,0.10671724843305079,98.45177570093458,0,1.0,2.0,0.477,0.451,10.0,6.0
Ginger,Tier1_full_history,2751,2889,0.4737909996630591,0.10867998698235545,99.19738276990185,0,0.0,2.0,0.383,0.727,9.0,6.0
Grapes(Black),Tier2_sparse,213,467,0.29597623080074076,0.07597381671461527,260.18779342723,1,,,,,,6.0
Grapes(Green),Tier1_full_history,1199,2889,0.34079711311974537,0.09030814751260174,143.2881567973311,1,0.0,1.0,0.396,0.083,10.0,6.0
Green Peas,Tier1_full_history,1685,2889,0.44216137168246616,0.11657558390232012,72.13679525222553,0,1.0,1.0,0.277,0.021,9.0,6.0
Guava,Tier1_full_history,435,2850,0.6660150351624619,0.14890243912808673,58.57816091954023,0,1.0,2.0,0.97,0.918,5.0,1.0
Gundruk,Tier1_full_history,2420,2878,0.18925188161665274,0.05822415258488437,213.375,1,0.0,2.0,0.119,0.704,6.0,1.0
Jack Fruit,Tier1_full_history,1551,2889,0.4615985960930733,0.16495374367111001,50.24435847840103,0,1.0,1.0,0.121,0.116,11.0,4.0
Kinnow,Tier1_full_history,325,2650,0.3395494395003832,0.13355681554539406,67.32307692307693,0,,,,,,6.0
Kiwi,Tier2_sparse,183,190,0.3158251294713778,0.11886684791610609,289.94535519125685,1,,,,,,6.0
Knolkhol,Tier1_full_history,1424,2706,0.3054036736190231,0.13490224021660813,48.16502808988764,0,1.0,1.0,0.196,0.088,11.0,6.0
Lemon,Tier1_full_history,594,2765,0.22895287985439353,0.1631452353823832,38.35606060606061,0,1.0,1.0,0.577,0.613,4.0,1.0
Lettuce,Tier1_full_history,2575,2889,0.4976320423696804,0.11592385052432945,70.38543689320389,0,1.0,1.0,0.169,0.095,8.0,6.0
Lime,Tier1_full_history,2725,2889,0.518068054417978,0.15603306515340112,344.04146788990823,1,0.0,2.0,0.128,0.609,5.0,6.0
Litchi(Indian),Tier2_sparse,41,390,0.12700569583631513,0.08063734415563834,142.6219512195122,1,,,,,,
Litchi(Local),Tier1_full_history,215,2244,0.3414230648489453,0.11104625632041176,106.94186046511628,1,,,,,,6.0
Maize,Tier2_sparse,24,575,1.356016230410876,0.15165732446345237,9.875,0,,,,,,
Mandarin,Tier2_sparse,68,2568,0.18071494764772755,0.15069075783129612,61.98529411764706,0,,,,,,5.0
Mango(Calcutte),Tier2_sparse,23,25,0.052751225359570206,0.12357935806211669,133.91304347826087,1,,,,,,
Mango(Chousa),Tier2_sparse,2,3,0.0,0.2222222222222222,135.0,0,,,,,,
Mango(Dushari),Tier2_sparse,58,710,0.2907968710885808,0.10627290366536361,101.37931034482759,1,,,,,,
Mango(Maldah),Tier1_full_history,886,2889,0.34017572408256397,0.11824313825147555,96.21049661399549,0,1.0,1.0,0.483,0.111,9.0,4.0
Mint,Tier1_full_history,2634,2889,0.44699786811662773,0.08785610313978172,139.2720197418375,1,0.0,2.0,0.466,0.613,1.0,4.0
Mombin,Tier1_full_history,1701,2806,0.4885433160651712,0.14438386048799143,43.35155790711346,0,1.0,1.0,0.0,0.054,4.0,1.0
Mushroom(Button),Tier2_sparse,683,714,0.25384542210540123,0.04589578705753518,355.8491947291362,1,,,,,,6.0
Mushroom(Kanya),Tier1_full_history,2730,2889,0.2686417210079502,0.0842005967704796,149.76886446886448,1,0.0,1.0,0.353,0.044,8.0,6.0
Musk Melon,Tier2_sparse,10,2175,0.5380338183747109,0.13219723746039536,39.4,0,,,,,,
Mustard Leaf,Tier1_full_history,2516,2889,0.27692267892116934,0.14272437855928302,48.32790143084261,0,1.0,1.0,0.353,0.188,8.0,6.0
Neuro,Tier1_full_history,1310,2889,0.30769376407580357,0.12346624890071355,75.31946564885496,0,0.0,1.0,0.0,0.545,12.0,1.0
Okara,Tier1_full_history,2663,2889,0.416963925180778,0.11778991298453578,69.5458129928652,0,1.0,1.0,0.743,0.071,1.0,4.0
Onion Dry (Chinese),Tier2_sparse,108,393,0.36655351414626697,0.08050782965475954,87.61111111111111,1,,,,,,
Onion Dry (Indian),Tier1_full_history,2742,2889,0.6484518282052615,0.06497578890390632,47.476112326768785,0,1.0,1.0,0.415,0.234,11.0,4.0
Onion Green,Tier1_full_history,2735,2889,0.5414629885466251,0.12485000407548233,73.68299817184644,0,1.0,1.0,0.393,0.293,10.0,6.0
Orange(Indian),Tier2_sparse,273,560,0.3809348463214201,0.09810740056773756,107.36263736263736,1,,,,,,6.0
Orange(Nepali),Tier1_full_history,1518,2738,0.27093616197679765,0.11911499083216595,84.36198945981555,0,1.0,1.0,0.15,0.099,5.0,1.0
Papaya(Indian),Tier2_sparse,668,710,0.1666191162457826,0.10915401253489161,94.87649700598803,1,,,,,,4.0
Papaya(Nepali),Tier1_full_history,2182,2889,0.19971797928412022,0.1259660242147641,66.17186067827681,0,1.0,1.0,0.365,0.322,6.0,6.0
Parseley,Tier1_full_history,2423,2878,0.5414759912914817,0.08808355806832664,148.83924886504334,1,0.0,2.0,0.0,0.627,5.0,4.0
Pear(Chinese),Tier2_sparse,429,647,0.28536310989097813,0.058852110228901286,198.96853146853147,1,,,,,,1.0
Pear(Local),Tier1_full_history,1572,2395,0.57351544555431,0.11723874607768628,99.86418575063614,0,1.0,1.0,0.387,0.06,3.0,4.0
Pineapple,Tier1_full_history,2634,2889,0.18280136570670233,0.10213267257442059,101.11047835990888,1,0.0,2.0,0.323,0.732,10.0,2.0
Pointed Gourd(Local),Tier1_full_history,2260,2889,0.5553333019762903,0.11534209689573707,60.556194690265485,0,1.0,1.0,0.587,0.211,2.0,1.0
Pointed Gourd(Terai),Tier2_sparse,168,504,0.40302528972501184,0.11146144434845719,92.54464285714286,0,,,,,,1.0
Pomegranate,Tier1_full_history,2642,2889,0.25262288169576885,0.06158460044731663,212.26249053747162,1,0.0,2.0,0.06,0.337,6.0,6.0
Potato Red,Tier1_full_history,2746,2889,0.4294461642071407,0.09634445796794353,35.4193372177713,0,1.0,2.0,0.731,0.626,10.0,6.0
Potato Red(Indian),Tier2_sparse,557,713,0.37065288256156015,0.08159971089198333,38.99551166965889,0,,,,,,4.0
Potato Red(Mude),Tier2_sparse,253,481,0.30892319358792386,0.050869472110254055,50.25494071146245,1,,,,,,
Potato White,Tier1_full_history,2381,2883,0.3854858983177516,0.10675911395540676,27.4002519949601,0,1.0,1.0,0.034,0.182,11.0,6.0
Pumpkin,Tier1_full_history,2715,2889,0.2659518572648306,0.1486905207803187,30.093738489871086,0,1.0,1.0,0.516,0.541,9.0,6.0
Raddish Red,Tier1_full_history,829,2866,0.3664139128754187,0.17813627300698362,33.78709288299156,0,1.0,1.0,0.376,0.108,4.0,2.0
Raddish White(Hybrid),Tier2_sparse,691,710,0.4626995633859407,0.20527934805080508,34.830680173661364,0,,,,,,6.0
