Commodity,volatility_cluster_name,full_cluster_name,shape_cluster_name
Apple(Fuji),Stable / Low Volatility (Cluster 1),,Monsoon Peak (Month 9) (Cluster 3)
Apple(Jholey),Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Autumn Peak (Month 10) (Cluster 6)
Arum,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Asparagus,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 3) (Cluster 2)
Bakula,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Bamboo Shoot,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 4) (Cluster 1)
Banana,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Barela,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Bauhania flower,High Volatility (Cluster 0),,
Bitter Gourd,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Bottle Gourd,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Brd Leaf Mustard,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Brinjal Long,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Brinjal Round,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Brocauli,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Cabbage,High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Cabbage(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Cabbage(Terai),High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Capsicum,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Carrot(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Carrot(Terai),High Volatility (Cluster 0),,Winter Peak (Month 12) (Cluster 4)
Cauli Local,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Cauli Local(Jyapu),High Volatility (Cluster 0),,Winter Peak (Month 12) (Cluster 4)
Cauli Terai,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Celery,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Chilli Dry,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Chilli Green,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Chilli Green(Akbare),Stable / Low Volatility (Cluster 1),,Spring Peak (Month 4) (Cluster 1)
Chilli Green(Bullet),High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Chilli Green(Machhe),High Volatility (Cluster 0),,Winter Peak (Month 12) (Cluster 4)
Christophine,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Clive Dry,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Clive Green,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Coriander Green,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Cow pea(Long),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 3) (Cluster 2)
Cowpea(Short),High Volatility (Cluster 0),,Spring Peak (Month 4) (Cluster 1)
Cress Leaf,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Cucumber(Hybrid),High Volatility (Cluster 0),,Winter Peak (Month 12) (Cluster 4)
Cucumber(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Drumstick,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Fennel Leaf,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Fenugreek Leaf,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Fish Fresh,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Fish Fresh(Bachuwa),Stable / Low Volatility (Cluster 1),,Spring Peak (Month 4) (Cluster 1)
Fish Fresh(Chhadi),Stable / Low Volatility (Cluster 1),,Spring Peak (Month 4) (Cluster 1)
Fish Fresh(Mungari),Stable / Low Volatility (Cluster 1),,Winter Peak (Month 12) (Cluster 4)
Fish Fresh(Rahu),Stable / Low Volatility (Cluster 1),,Monsoon Peak (Month 9) (Cluster 3)
French Bean(Hybrid),High Volatility (Cluster 0),,Monsoon Peak (Month 9) (Cluster 3)
French Bean(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Monsoon Peak (Month 9) (Cluster 3)
French Bean(Rajma),Stable / Low Volatility (Cluster 1),,Spring Peak (Month 4) (Cluster 5)
Garlic Dry Chinese,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 4) (Cluster 1)
Garlic Dry Nepali,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Garlic Green,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Ginger,High Volatility (Cluster 0),"Stable, Weakly Seasonal (Cluster 0.0)",Autumn Peak (Month 10) (Cluster 6)
Grapes(Black),Stable / Low Volatility (Cluster 1),,Autumn Peak (Month 10) (Cluster 6)
Grapes(Green),Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Autumn Peak (Month 10) (Cluster 6)
Green Peas,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Guava,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Gundruk,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 4) (Cluster 1)
Jack Fruit,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Kinnow,High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Kiwi,Stable / Low Volatility (Cluster 1),,Autumn Peak (Month 10) (Cluster 6)
Knolkhol,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Lemon,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Lettuce,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Lime,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Autumn Peak (Month 10) (Cluster 6)
Litchi(Indian),Stable / Low Volatility (Cluster 1),,
Litchi(Local),Stable / Low Volatility (Cluster 1),,Autumn Peak (Month 10) (Cluster 6)
Maize,High Volatility (Cluster 0),,
Mandarin,High Volatility (Cluster 0),,Spring Peak (Month 4) (Cluster 5)
Mango(Calcutte),Stable / Low Volatility (Cluster 1),,
Mango(Chousa),High Volatility (Cluster 0),,
Mango(Dushari),Stable / Low Volatility (Cluster 1),,
Mango(Maldah),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Mint,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Mombin,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Mushroom(Button),Stable / Low Volatility (Cluster 1),,Autumn Peak (Month 10) (Cluster 6)
Mushroom(Kanya),Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Autumn Peak (Month 10) (Cluster 6)
Musk Melon,High Volatility (Cluster 0),,
Mustard Leaf,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Neuro,High Volatility (Cluster 0),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 4) (Cluster 1)
Okara,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Onion Dry (Chinese),Stable / Low Volatility (Cluster 1),,
Onion Dry (Indian),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Onion Green,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Orange(Indian),Stable / Low Volatility (Cluster 1),,Autumn Peak (Month 10) (Cluster 6)
Orange(Nepali),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Papaya(Indian),Stable / Low Volatility (Cluster 1),,Winter Peak (Month 12) (Cluster 4)
Papaya(Nepali),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Parseley,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Winter Peak (Month 12) (Cluster 4)
Pear(Chinese),Stable / Low Volatility (Cluster 1),,Spring Peak (Month 4) (Cluster 1)
Pear(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Pineapple,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 3) (Cluster 2)
Pointed Gourd(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Pointed Gourd(Terai),High Volatility (Cluster 0),,Spring Peak (Month 4) (Cluster 1)
Pomegranate,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Autumn Peak (Month 10) (Cluster 6)
Potato Red,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Potato Red(Indian),High Volatility (Cluster 0),,Winter Peak (Month 12) (Cluster 4)
Potato Red(Mude),Stable / Low Volatility (Cluster 1),,
Potato White,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Pumpkin,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Raddish Red,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 3) (Cluster 2)
Raddish White(Hybrid),High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Raddish White(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Red Cabbbage,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Smooth Gourd,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Snake Gourd,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Soyabean Green,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
Spinach Leaf,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Sponge Gourd,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Squash(Long),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Squash(Round),High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Strawberry,Stable / Low Volatility (Cluster 1),,Autumn Peak (Month 10) (Cluster 6)
Sugarbeet,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Winter Peak (Month 12) (Cluster 4)
Sugarcane,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Sweet Lime,High Volatility (Cluster 0),,
Sweet Orange,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 4) (Cluster 1)
Sweet Potato,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Sword Bean,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Tamarind,Stable / Low Volatility (Cluster 1),"Stable, Weakly Seasonal (Cluster 0.0)",Spring Peak (Month 4) (Cluster 1)
Tofu,High Volatility (Cluster 0),"Stable, Weakly Seasonal (Cluster 0.0)",Autumn Peak (Month 10) (Cluster 6)
Tomato Big(Indian),High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Tomato Big(Nepali),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Tomato Small(Indian),High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Tomato Small(Local),High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Autumn Peak (Month 10) (Cluster 6)
Tomato Small(Terai),High Volatility (Cluster 0),,Winter Peak (Month 12) (Cluster 4)
Tomato Small(Tunnel),High Volatility (Cluster 0),,Autumn Peak (Month 10) (Cluster 6)
Turnip,High Volatility (Cluster 0),"High-Volatility, Strongly Seasonal (Cluster 1.0)",Spring Peak (Month 4) (Cluster 1)
