Commodity,price_mean,price_std,cv,avg_daily_range_pct,log_price_mean,tier,n_obs,span_days
Apple(Fuji),280.0253164556962,39.92218785761481,0.14256635208170915,0.06481187834089075,5.638444759423897,Tier2_sparse,395,714
Apple(Jholey),122.28382407752515,36.72051982778066,0.3002892664241567,0.09296635217080403,4.8144892099785705,Tier1_full_history,2683,2888
Arum,42.60222772277228,8.99692149140802,0.21118429651036472,0.14110937559821568,3.7751082436087033,Tier1_full_history,2020,2880
Asparagus,321.6469194312796,148.46133585010818,0.4615661673757369,0.11866108902913607,5.776558596625994,Tier1_full_history,1055,2889
Bakula,67.06631299734748,23.557621439746573,0.35125863323779694,0.12008478859160927,4.220482421123601,Tier1_full_history,1131,2768
Bamboo Shoot,101.34748542274052,27.540934453966383,0.271747585439221,0.10500758959457696,4.628373743390644,Tier1_full_history,2744,2889
Banana,78.39413265306122,20.639754153719014,0.2632818739772491,0.1259991863337211,4.374424469465478,Tier1_full_history,2744,2889
Barela,44.121942446043164,16.994908413725742,0.3851804220657071,0.15675520039752772,3.8093686569290006,Tier1_full_history,1390,2832
Bauhania flower,119.16958041958041,67.86426146126534,0.5694763816598515,0.11827445806249773,4.788903915359989,Tier1_full_history,286,2616
Bitter Gourd,65.80149812734082,33.42762711859575,0.5080070829680156,0.13047025464069653,4.201725507347118,Tier1_full_history,2670,2889
Bottle Gourd,39.63944444444444,10.990198219214095,0.27725409306926846,0.15868279082793102,3.7047391330105595,Tier1_full_history,2700,2889
Brd Leaf Mustard,49.76203501094092,23.70906659251485,0.4764488949718809,0.15328629408520783,3.9271487328806503,Tier1_full_history,2742,2889
Brinjal Long,37.917397660818715,13.603887387630651,0.35877692634186215,0.16273152288497114,3.661441391280129,Tier1_full_history,2736,2889
Brinjal Round,38.050350701402806,10.424635602545983,0.27396950121044894,0.15588008797922445,3.6648518570751447,Tier1_full_history,1996,2889
Brocauli,65.85320855614974,35.31911736198808,0.5363310024882574,0.13692416079222688,4.2024992987484415,Tier1_full_history,1870,2889
Cabbage,29.69965277777778,14.823851903094244,0.4991254279641249,0.20447854102500138,3.424251344359086,Tier2_sparse,288,692
Cabbage(Local),27.553292106220443,14.578708262714164,0.5291094874075998,0.19326688747735085,3.3517722396546747,Tier1_full_history,2749,2889
Cabbage(Terai),25.014112903225808,10.665165326266344,0.4263659226104704,0.2275727343382863,3.2586391947269187,Tier2_sparse,248,519
Capsicum,75.34844036697248,30.31199370724263,0.40229092413343837,0.11432065129654324,4.33530760404241,Tier1_full_history,2725,2889
Carrot(Local),63.19279970760234,31.738338618535227,0.5022461224283592,0.12482946930387925,4.161891050318984,Tier1_full_history,2736,2889
Carrot(Terai),44.211290322580645,23.726080476341014,0.5366520701664087,0.1839280486791235,3.811346841544684,Tier2_sparse,310,531
Cauli Local,48.80163636363636,25.43794682806261,0.5212519235731453,0.1633546246980721,3.908047842198329,Tier1_full_history,2750,2889
Cauli Local(Jyapu),46.62839879154078,20.26889638736395,0.43468995103132485,0.1665951267902265,3.863429196602098,Tier2_sparse,331,520
Cauli Terai,27.39787485242031,16.31781779256976,0.5955869891539509,0.2123071184617257,3.3463143132271904,Tier1_full_history,847,2681
Celery,133.838342810723,64.82273569009642,0.4843360604200704,0.09123638842462874,4.904076600248235,Tier1_full_history,2462,2878
Chilli Dry,250.4585152838428,59.22474907564662,0.23646530447778008,0.044842412807403746,5.527278026764573,Tier1_full_history,2748,2889
Chilli Green,63.795063985374775,25.678879620852328,0.40252141806361846,0.12212315453691648,4.17122942739171,Tier1_full_history,2735,2889
Chilli Green(Akbare),228.23779193205945,93.30785658585228,0.40881860885522253,0.08388334415272809,5.4347598575138685,Tier2_sparse,471,714
Chilli Green(Bullet),70.01386321626617,26.045051638703594,0.3719984934733983,0.12442546153954148,4.262875114548362,Tier2_sparse,541,714
Chilli Green(Machhe),71.15248226950355,25.06304443658777,0.352244133123237,0.12797071747289007,4.278781688917789,Tier2_sparse,423,714
Christophine,29.87370786516854,14.095695422929147,0.47184284878691346,0.19843522373985573,3.4299049435515268,Tier1_full_history,2225,2873
Clive Dry,134.1963727329581,53.57746102386116,0.39924671533765493,0.08567023010642469,4.906728334350723,Tier1_full_history,1599,2874
Clive Green,89.4541788856305,42.79496396428655,0.47840094780816256,0.11770690244755028,4.5048434118313425,Tier1_full_history,1364,2874
Coriander Green,123.49051441079898,95.05956690599699,0.7697722157814919,0.12456602609792766,4.824229523530703,Tier1_full_history,2741,2889
Cow pea(Long),62.65637494446913,26.24934247658658,0.4189412888928023,0.12449931162226495,4.153499476224864,Tier1_full_history,2251,2889
Cowpea(Short),58.81944444444444,15.551491173163374,0.26439371061812583,0.11579018698527146,4.091330766038055,Tier2_sparse,324,710
Cress Leaf,62.57857416634726,24.337738093590996,0.38891487090926796,0.11849220968916402,4.1522765294109245,Tier1_full_history,2609,2889
Cucumber(Hybrid),37.36966463414634,17.83071825460615,0.4771441871146316,0.214050728204463,3.6472671639065215,Tier2_sparse,656,714
Cucumber(Local),55.46835443037975,23.807145775822857,0.4292023086010967,0.14021907936539685,4.0336803826612435,Tier1_full_history,2686,2889
Drumstick,126.06693989071039,53.38997417484763,0.42350495872377264,0.09842932450607181,4.844714033351313,Tier1_full_history,366,2889
Fennel Leaf,62.27324358435002,20.345596549239556,0.32671489998238407,0.11774228674924936,4.147462547600242,Tier1_full_history,2377,2888
Fenugreek Leaf,59.93510452961672,19.58286488745705,0.3267344745812572,0.11834841621796875,4.109809437702184,Tier1_full_history,2296,2889
Fish Fresh,234.90962383976552,17.23771156803642,0.07338018462706516,0.03639819947668105,5.463448781850096,Tier1_full_history,2047,2684
Fish Fresh(Bachuwa),220.53486529318542,11.908262635236165,0.05399718824234425,0.036244224713818045,5.4005799824851035,Tier2_sparse,631,714
Fish Fresh(Chhadi),213.61331220285263,11.904824164051227,0.05573072221616087,0.041902518499564036,5.368837860904772,Tier2_sparse,631,714
Fish Fresh(Mungari),243.43004769475357,17.52981636927203,0.07201171973335581,0.02974790088150128,5.498929164481573,Tier2_sparse,629,714
Fish Fresh(Rahu),282.147853736089,26.244479237544624,0.09301676014906982,0.02510157060753559,5.645969212577312,Tier2_sparse,629,714
French Bean(Hybrid),71.3469696969697,29.276196236343317,0.4103355245595912,0.12158624870497906,4.281473568260733,Tier2_sparse,660,710
French Bean(Local),59.80668127053669,23.578090786416265,0.3942384075745703,0.12583969190338068,4.10769967225277,Tier1_full_history,2739,2889
French Bean(Rajma),87.5,20.813472486413094,0.2378682569875782,0.09019788206225263,4.483002552013883,Tier2_sparse,158,710
Garlic Dry Chinese,194.08211143695016,83.88284740710051,0.4322028794207076,0.053089235642047754,5.273420554224688,Tier1_full_history,2728,2889
Garlic Dry Nepali,154.7544921875,71.829969570258,0.46415434250030724,0.07448729328836634,5.048280999546977,Tier1_full_history,2560,2889
Garlic Green,98.45177570093458,46.50696129789952,0.4723831639073021,0.10671724843305079,4.599672860353596,Tier1_full_history,2675,2889
Ginger,99.19738276990185,46.99882714651091,0.4737909996630591,0.10867998698235545,4.60714206824877,Tier1_full_history,2751,2889
Grapes(Black),260.18779342723,77.0094023989533,0.29597623080074076,0.07597381671461527,5.565239663642698,Tier2_sparse,213,467
Grapes(Green),143.2881567973311,48.83219018077986,0.34079711311974537,0.09030814751260174,4.971812388935044,Tier1_full_history,1199,2889
Green Peas,72.13679525222553,31.896104337501253,0.44216137168246616,0.11657558390232012,4.292331595138693,Tier1_full_history,1685,2889
Guava,58.57816091954023,39.01393590457994,0.6660150351624619,0.14890243912808673,4.087289079395841,Tier1_full_history,435,2850
Gundruk,213.375,40.38162023995328,0.18925188161665274,0.05822415258488437,5.367726817920205,Tier1_full_history,2420,2878
Jack Fruit,50.24435847840103,23.19272533522702,0.4615985960930733,0.16495374367111001,3.9366055334892143,Tier1_full_history,1551,2889
Kinnow,67.32307692307693,22.859513034671952,0.3395494395003832,0.13355681554539406,4.224247585396466,Tier1_full_history,325,2650
Kiwi,289.94535519125685,91.57202934290332,0.3158251294713778,0.11886684791610609,5.673135466690171,Tier2_sparse,183,190
Knolkhol,48.16502808988764,14.709776518615124,0.3054036736190231,0.13490224021660813,3.8951825595710723,Tier1_full_history,1424,2706
Lemon,38.35606060606061,8.781730535627231,0.22895287985439353,0.1631452353823832,3.672649980946957,Tier1_full_history,594,2765
Lettuce,70.38543689320389,35.0260487142473,0.4976320423696804,0.11592385052432945,4.268093883460654,Tier1_full_history,2575,2889
Lime,344.04146788990823,178.23689390883,0.518068054417978,0.15603306515340112,5.843664606590648,Tier1_full_history,2725,2889
Litchi(Indian),142.6219512195122,18.11380015616714,0.12700569583631513,0.08063734415563834,4.967184508577295,Tier2_sparse,41,390
