Commodity,n_obs,start,end,span_days,coverage_pct
Musk Melon,10,2014-12-09,2020-11-21,2175,0.004597701149425287
Sweet Lime,14,2013-06-30,2020-11-16,2697,0.005190952910641453
Mandarin,68,2013-11-04,2020-11-14,2568,0.0264797507788162
Maize,24,2013-06-30,2015-01-25,575,0.04173913043478261
Water Melon(Dotted),42,2019-06-04,2021-04-29,696,0.0603448275862069
Mango(Dushari),58,2019-06-04,2021-05-13,710,0.08169014084507042
Strawberry,234,2014-01-07,2021-05-13,2684,0.08718330849478391
Litchi(Local),215,2014-05-26,2020-07-16,2244,0.09581105169340463
Litchi(Indian),41,2019-06-04,2020-06-27,390,0.10512820512820513
Bauhania flower,286,2014-02-28,2021-04-27,2616,0.10932721712538226
Kinnow,325,2014-01-07,2021-04-09,2650,0.12264150943396226
Drumstick,366,2013-06-16,2021-05-13,2889,0.12668743509865005
Turnip,420,2013-06-16,2021-04-27,2873,0.1461886529759833
Guava,435,2013-07-25,2021-05-13,2850,0.15263157894736842
Sugarcane,462,2013-06-16,2021-03-23,2838,0.16279069767441862
Lemon,594,2013-09-09,2021-04-04,2765,0.21482820976491862
French Bean(Rajma),158,2019-06-04,2021-05-13,710,0.22253521126760564
Sweet Potato,661,2013-11-01,2021-05-13,2751,0.24027626317702652
Sponge Gourd,788,2013-06-16,2021-05-13,2889,0.2727587400484597
Onion Dry (Chinese),108,2019-12-09,2021-01-04,393,0.2748091603053435
Raddish Red,829,2013-06-16,2021-04-20,2866,0.2892533147243545
Mango(Maldah),886,2013-06-16,2021-05-13,2889,0.3066805122879889
Cauli Terai,847,2013-12-18,2021-04-20,2681,0.31592689295039167
Pointed Gourd(Terai),168,2019-12-27,2021-05-13,504,0.3333333333333333
Asparagus,1055,2013-06-16,2021-05-13,2889,0.36517826237452405
Soyabean Green,1061,2013-06-16,2021-05-13,2889,0.36725510557286256
Snake Gourd,1135,2013-06-16,2021-05-13,2889,0.3928695050190377
Yam,1105,2013-10-27,2021-04-20,2733,0.40431759970728137
Bakula,1131,2013-09-29,2021-04-27,2768,0.40859826589595377
Grapes(Green),1199,2013-06-16,2021-05-13,2889,0.41502249913464867
Cabbage,288,2019-06-05,2021-04-26,692,0.4161849710982659
Neuro,1310,2013-06-16,2021-05-13,2889,0.4534440983039114
Grapes(Black),213,2020-01-31,2021-05-11,467,0.45610278372591007
Cowpea(Short),324,2019-06-04,2021-05-13,710,0.4563380281690141
Clive Green,1364,2013-06-16,2021-04-28,2874,0.4745998608211552
Cabbage(Terai),248,2019-12-09,2021-05-10,519,0.47784200385356457
Sword Bean,1342,2013-09-23,2021-04-27,2774,0.4837779379956741
Orange(Indian),273,2019-10-28,2021-05-09,560,0.4875
Barela,1390,2013-08-12,2021-05-13,2832,0.490819209039548
Potato Red(Mude),253,2019-06-23,2020-10-15,481,0.525987525987526
Knolkhol,1424,2013-12-16,2021-05-13,2706,0.5262379896526238
Red Cabbbage,1535,2013-06-16,2021-05-13,2889,0.5313257182416061
Jack Fruit,1551,2013-06-16,2021-05-13,2889,0.5368639667705088
