Commodity,mean,std,count,cv,avg_daily_range_pct
Maize,9.875,13.3906602753074,24,1.356016230410876,0.15165732446345237
Coriander Green,123.49051441079898,95.05956690599699,2741,0.7697722157814919,0.12456602609792766
Guava,58.57816091954023,39.01393590457994,435,0.6660150351624619,0.14890243912808673
Onion Dry (Indian),47.476112326768785,30.78597183437157,2742,0.6484518282052615,0.06497578890390632
Cauli Terai,27.39787485242031,16.31781779256976,847,0.5955869891539509,0.2123071184617257
Pear(Local),99.86418575063614,57.27365298569446,1572,0.57351544555431,0.11723874607768628
Bauhania flower,119.16958041958041,67.86426146126534,286,0.5694763816598515,0.11827445806249773
Pointed Gourd(Local),60.556194690265485,33.628871552464226,2260,0.5553333019762903,0.11534209689573707
Parseley,148.83924886504334,80.59287982227889,2423,0.5414759912914817,0.08808355806832664
Onion Green,73.68299817184644,39.89661639520349,2735,0.5414629885466251,0.12485000407548233
Musk Melon,39.4,21.198532443963607,10,0.5380338183747109,0.13219723746039536
Carrot(Terai),44.211290322580645,23.726080476341014,310,0.5366520701664087,0.1839280486791235
Brocauli,65.85320855614974,35.31911736198808,1870,0.5363310024882574,0.13692416079222688
Cabbage(Local),27.553292106220443,14.578708262714164,2749,0.5291094874075998,0.19326688747735085
Cauli Local,48.80163636363636,25.43794682806261,2750,0.5212519235731453,0.1633546246980721
Lime,344.04146788990823,178.23689390883,2725,0.518068054417978,0.15603306515340112
Bitter Gourd,65.80149812734082,33.42762711859575,2670,0.5080070829680156,0.13047025464069653
Carrot(Local),63.19279970760234,31.738338618535227,2736,0.5022461224283592,0.12482946930387925
Cabbage,29.69965277777778,14.823851903094244,288,0.4991254279641249,0.20447854102500138
Lettuce,70.38543689320389,35.0260487142473,2575,0.4976320423696804,0.11592385052432945
Mombin,43.35155790711346,21.179113856532503,1701,0.4885433160651712,0.14438386048799143
Celery,133.838342810723,64.82273569009642,2462,0.4843360604200704,0.09123638842462874
Clive Green,89.4541788856305,42.79496396428655,1364,0.47840094780816256,0.11770690244755028
Cucumber(Hybrid),37.36966463414634,17.83071825460615,656,0.4771441871146316,0.214050728204463
Brd Leaf Mustard,49.76203501094092,23.70906659251485,2742,0.4764488949718809,0.15328629408520783
Raddish White(Local),25.980160174736074,12.327966488073837,2747,0.47451464522000675,0.21447867723712455
Tomato Small(Tunnel),44.83381924198251,21.274108021428898,686,0.47451027775719284,0.19700201522342087
Ginger,99.19738276990185,46.99882714651091,2751,0.4737909996630591,0.10867998698235545
Garlic Green,98.45177570093458,46.50696129789952,2675,0.4723831639073021,0.10671724843305079
Christophine,29.87370786516854,14.095695422929147,2225,0.47184284878691346,0.19843522373985573
Smooth Gourd,48.820864991233194,22.93785585150055,1711,0.46983714556510875,0.15554906285034925
Garlic Dry Nepali,154.7544921875,71.829969570258,2560,0.46415434250030724,0.07448729328836634
Raddish White(Hybrid),34.830680173661364,16.116140508788455,691,0.4626995633859407,0.20527934805080508
Jack Fruit,50.24435847840103,23.19272533522702,1551,0.4615985960930733,0.16495374367111001
Asparagus,321.6469194312796,148.46133585010818,1055,0.4615661673757369,0.11866108902913607
Mint,139.2720197418375,62.25429591289826,2634,0.44699786811662773,0.08785610313978172
Tomato Small(Local),38.18551623495075,16.970948932285324,2741,0.4444341888129829,0.18785831163439326
Green Peas,72.13679525222553,31.896104337501253,1685,0.44216137168246616,0.11657558390232012
Cauli Local(Jyapu),46.62839879154078,20.26889638736395,331,0.43468995103132485,0.1665951267902265
Garlic Dry Chinese,194.08211143695016,83.88284740710051,2728,0.4322028794207076,0.053089235642047754
Potato Red,35.4193372177713,15.210698506931104,2746,0.4294461642071407,0.09634445796794353
Cucumber(Local),55.46835443037975,23.807145775822857,2686,0.4292023086010967,0.14021907936539685
Cabbage(Terai),25.014112903225808,10.665165326266344,248,0.4263659226104704,0.2275727343382863
Drumstick,126.06693989071039,53.38997417484763,366,0.42350495872377264,0.09842932450607181
Red Cabbbage,85.42833876221498,35.82617855597046,1535,0.41937112526196524,0.11995497895013159
Cow pea(Long),62.65637494446913,26.24934247658658,2251,0.4189412888928023,0.12449931162226495
Okara,69.5458129928652,28.998095165393423,2663,0.416963925180778,0.11778991298453578
French Bean(Hybrid),71.3469696969697,29.276196236343317,660,0.4103355245595912,0.12158624870497906
Chilli Green(Akbare),228.23779193205945,93.30785658585228,471,0.40881860885522253,0.08388334415272809
Sword Bean,62.614381520119224,25.534329984997562,1342,0.40780295780439646,0.1260046083390924
Pointed Gourd(Terai),92.54464285714286,37.29783149999775,168,0.40302528972501184,0.11146144434845719
Chilli Green,63.795063985374775,25.678879620852328,2735,0.40252141806361846,0.12212315453691648
Capsicum,75.34844036697248,30.31199370724263,2725,0.40229092413343837,0.11432065129654324
Clive Dry,134.1963727329581,53.57746102386116,1599,0.39924671533765493,0.08567023010642469
Tomato Small(Indian),36.254901960784316,14.47414431710115,357,0.39923275293248167,0.1878649011815678
French Bean(Local),59.80668127053669,23.578090786416265,2739,0.3942384075745703,0.12583969190338068
Spinach Leaf,60.61727039882913,23.892903778429517,2733,0.3941600078859874,0.12131131202505697
Tomato Small(Terai),32.42657342657343,12.76466587436049,286,0.3936483114154734,0.20514271180365082
Cress Leaf,62.57857416634726,24.337738093590996,2609,0.38891487090926796,0.11849220968916402
Potato White,27.4002519949601,10.56241075440996,2381,0.3854858983177516,0.10675911395540676
Barela,44.121942446043164,16.994908413725742,1390,0.3851804220657071,0.15675520039752772
