Commodity,model,mae,rmse,mape
Apple(Jholey),Naive Seasonal,51.87723214285714,57.27930459733537,49.02081137935586
Apple(Jholey),Moving Average,23.230096726190478,30.10222798647876,20.618545484979617
Apple(Jholey),SARIMA,15.869213907688739,23.51670760097226,11.423332368217796
Apple(Jholey),Prophet,37.858355549259784,43.54727792170364,36.95069108089646
Apple(Jholey),LightGBM (global),22.65000931769334,30.118131893601117,19.726648331399602
Apple(Jholey),LSTM,19.194375310625347,25.13653957196192,15.996409075424328
Apple(Jholey),TFT,16.027299199785503,22.998891901192515,12.142895496046325
Arum,Naive Seasonal,5.649553571428571,6.647510474771552,12.18902908211084
Arum,Moving Average,7.250372023809524,7.828456542020696,15.041276192494326
Arum,SARIMA,5.109923983399652,5.693723854457303,9.99452380180901
Arum,Prophet,7.2113940177933245,8.113192095702466,16.04104864649802
Arum,LightGBM (global),5.9788160872224605,6.5342525426826885,11.811163488887239
Arum,LSTM,7.306366196700505,8.317631971579328,15.887684955993507
Arum,TFT,9.39263462736493,9.983735846650148,19.93424235336761
Asparagus,Naive Seasonal,138.5105168269231,147.64776679181858,30.25326071282688
Asparagus,Moving Average,141.95504848574043,146.14623278346158,39.039412546644655
Asparagus,SARIMA,959.4224039385633,967.694896370309,208.67001022155705
Asparagus,Prophet,77.22639556803529,89.87908292908472,20.25344300247947
Asparagus,LightGBM (global),111.91778535046865,117.64524524767882,29.98497013742166
Asparagus,LSTM,136.7371787797837,163.98018235214442,29.03726588200885
Asparagus,TFT,104.36447788420176,127.01432361668851,23.561598372225482
